Removed Pin From Net: NetName=+5 Pin=L1-1
Removed Pin From Net: NetName=NetL1_2 Pin=L1-2
Removed Pin From Net: NetName=+5 Pin=L2-1
Removed Pin From Net: NetName=NetL2_2 Pin=L2-2
Removed Pin From Net: NetName=+5 Pin=L3-1
Removed Pin From Net: NetName=NetL3_2 Pin=L3-2
Removed Pin From Net: NetName=+5 Pin=L4-1
Removed Pin From Net: NetName=NetL4_2 Pin=L4-2
Removed Pin From Net: NetName=+5 Pin=L5-1
Removed Pin From Net: NetName=NetL5_2 Pin=L5-2
Removed Pin From Net: NetName=NetL6_1 Pin=L6-1
Removed Pin From Net: NetName=NetL6_2 Pin=L6-2
Change Component Comment : Designator=Y1 Old Comment=16MHz, 10 pf New Comment=16MHz
Change Component Comment : Designator=Y2 Old Comment=16MHz, 10 pf New Comment=16MHz
Change Component Comment : Designator=L4 Old Comment=AMS New Comment=Red
Change Component Comment : Designator=L5 Old Comment=IMD New Comment=Red
Change Component Comment : Designator=L2 Old Comment=MC New Comment=Red
Change Component Comment : Designator=L3 Old Comment=MODE New Comment=Green
Change Component Comment : Designator=L6 Old Comment=SSOK New Comment=Amber
Change Component Comment : Designator=L1 Old Comment=START New Comment=Blue
Change component parameters: Designator = "U1" ("U1"); Footprint = "32A_M"; UniqueID = "\APNXUIOR" ("\APNXUIOR")
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 250µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC6" ("IC6"); Footprint = "DIODES SOT-23-3"; UniqueID = "\WFDBCIWG" ("\WFDBCIWG")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/DMG3406L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/DMG3406L-7/DMG3406L-7DICT-ND/5223238"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "3.6A (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "11.2nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "495pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 4:00:19 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DMG3406L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "770mW (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "50mOhm @ 3.6A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DMG3406L-7DICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 250µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "RESNET 1506-16 CONVEX"; UniqueID = "\GAUMXMAL" ("\GAUMXMAL")
Change component parameters (AddParameter): Name = "Applications"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuit Type"; Value = "Isolated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/panasonic-electronic-components/EXB-2HV103JV/Y1103CT-ND/285393"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "1506, Convex, Long Side Terminals"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 3:39:13 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Resistors"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "1506, Convex, Long Side Terminals"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "EXB-2HV103JV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "657"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Per Element"; Value = "62.5mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.03"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance (Ohms)"; Value = "10k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "EXB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.150" L x 0.063" W (3.80mm x 1.60mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "1506"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "Y1103CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±200ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±5%"; VariantName = "[No Variations]"
Change component parameters: Designator = "Y1" ("Y1"); Footprint = "NDK NX3225SA"; UniqueID = "\HQORZRST" ("\HQORZRST")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "//media.digikey.com/pdf/Data Sheets/NDK PDFs/NX3225SA-16.000000MHz-T1.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/ndk-america-inc/NX3225SA-16.000000MHZ-T1/644-1100-1-ND/1468361"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "4-SMD, No Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "60 Ohms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "16MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Stability"; Value = "±10ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Tolerance"; Value = "±10ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.028" (0.70mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 3:23:16 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Capacitance"; Value = "10pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "NDK America, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Mode"; Value = "Fundamental"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-20°C ~ 70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "4-SMD, No Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "NX3225SA-16.000000MHZ-T1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "592"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.47"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "NX3225SA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.126" L x 0.098" W (3.20mm x 2.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "644-1100-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "MHz Crystal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "16MHz"; VariantName = "[No Variations]"
Change component parameters: Designator = "Y2" ("Y2"); Footprint = "NDK NX3225SA"; UniqueID = "\XVHPRTIN" ("\XVHPRTIN")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "//media.digikey.com/pdf/Data Sheets/NDK PDFs/NX3225SA-16.000000MHz-T1.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/ndk-america-inc/NX3225SA-16.000000MHZ-T1/644-1100-1-ND/1468361"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "4-SMD, No Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "60 Ohms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "16MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Stability"; Value = "±10ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Tolerance"; Value = "±10ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.028" (0.70mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 3:23:16 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Capacitance"; Value = "10pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "NDK America, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Mode"; Value = "Fundamental"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-20°C ~ 70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "4-SMD, No Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "NX3225SA-16.000000MHZ-T1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "592"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.47"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "NX3225SA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.126" L x 0.098" W (3.20mm x 2.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "644-1100-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "MHz Crystal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "16MHz"; VariantName = "[No Variations]"
Change component parameters: Designator = "C10" ("C10"); Footprint = "CAPC1508X91X25LL25T13"; UniqueID = "\FZYOABFN" ("\FZYOABFN")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AVX Interconnect / Elco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "06032U150GAT2A"; VariantName = "[No Variations]"
Change component parameters: Designator = "C11" ("C11"); Footprint = "CAPC1508X91X25LL25T13"; UniqueID = "\SNDSZWXY" ("\SNDSZWXY")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AVX Interconnect / Elco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "06032U150GAT2A"; VariantName = "[No Variations]"
Change component parameters: Designator = "C14" ("C14"); Footprint = "CAPC1508X91X25LL25T13"; UniqueID = "\ZVJMLMCN" ("\ZVJMLMCN")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AVX Interconnect / Elco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "06032U150GAT2A"; VariantName = "[No Variations]"
Change component parameters: Designator = "C15" ("C15"); Footprint = "CAPC1508X91X25LL25T13"; UniqueID = "\WWGQEEXZ" ("\WWGQEEXZ")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AVX Interconnect / Elco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "06032U150GAT2A"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3" ("R3"); Footprint = "RESC1609X50X30ML10T20"; UniqueID = "\LVHRELZM" ("\LVHRELZM")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CRCW060310R0FKEA"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "RESC1609X50X30ML10T20"; UniqueID = "\XRTKBTUK" ("\XRTKBTUK")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CRCW060310R0FKEA"; VariantName = "[No Variations]"
Added Room: Name=Dashboard
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=5mil New=0mil
